Datum;Riksbankscertifikat (mdkr);Reserver (mdkr);Räntefri inlåning (mdkr);Finjusterade transaktioner (mdkr)
2022-11-08;582.0;582.7;;
2022-11-15;584.0;584.6;;
2022-11-22;586.0;585.6;;
2022-11-29;588.0;587.1;;
2022-12-06;589.0;589.0;;
2022-12-13;591.0;592.7;;
2022-12-20;582.0;584.1;;
2022-12-27;584.0;574.3;;
2023-01-03;581.0;574.3;;
2023-01-10;585.0;588.3;;
2023-01-17;586.0;585.9;;
2023-01-24;586.0;585.8;;
2023-01-31;587.0;586.1;;
2023-02-07;587.0;585.7;;
2023-02-14;945.7;207.3;;
2023-02-21;917.2;221.8;;
2023-02-28;952.95;186.0;;
2023-03-07;1046.8;93.2;;
2023-03-14;897.185;226.8;;
2023-03-21;913.595;210.4;;
2023-03-28;953.192;169.8;;
2023-04-04;935.7;186.3;;
2023-04-11;963.85;158.1;;
2023-04-18;987.1;134.9;;
2023-04-25;973.8;148.2;;
2023-05-02;962.35;159.6;;
2023-05-09;978.5;140.5;;
2023-05-16;1009.45;129.5;;
2023-05-23;994.75;144.2;;
2023-05-30;962.875;158.1;;
2023-06-05;954.375;165.6;;
2023-06-13;954.736;164.3;;
2023-06-20;915.9;194.1;;
2023-06-27;942.6;167.4;;
2023-07-04;973.45;139.5;;
2023-07-11;987.75;126.2;;
2023-07-18;957.66;158.3;;
2023-07-25;950.0;167.0;;
2023-08-01;976.7;141.3;;
2023-08-15;1024.51;96.5;;
2023-08-22;936.19;185.8;;
2023-08-29;972.77;149.2;;
2023-09-05;994.4;126.6;;
2023-09-12;975.452;145.5;;
2023-09-19;949.2;145.8;;
2023-09-26;1020.8;74.2;;
2023-10-03;979.9;114.1;;
2023-10-10;948.4;146.6;;
2023-10-17;995.35;98.6;;
2023-10-24;924.65;169.4;;
2023-10-31;940.4;152.6;;
2023-11-07;922.45;97.5;;
2023-11-14;832.4;186.6;;
2023-11-21;902.85;117.1;;
2023-11-28;923.6;93.4;;
2023-12-05;900.15;116.9;;
2023-12-12;920.35;94.6;;
2023-12-19;740.9;249.1;;
2024-01-02;846.3;145.7;;
