Anbudsdag;Instrument;Lån;ISIN;Kupong (%);Förfallodag;Erbjuden volym (Mkr);Budvolym (Mkr);Tilldelad volym (Mkr);Antal bud;Antal godkända bud;Genomsnittlig ränta (%);Lägsta ränta (%);Högst accepterade ränta (%);Tilldelning till högsta ränta (%)
2024-03-08;SGB;1053;SE0002829192;3.5;2039-03-30;900 +/- 900;4360;900;32;6;2.442;2.433;2.444;50.0
2024-03-08;SGB;1060;SE0009496367;0.75;2028-05-12;900 +/- 900;3500;900;12;1;2.376;2.376;2.376;100.0
2024-03-08;SGB;1062;SE0013935319;0.125;2031-05-12;900 +/- 900;3500;900;12;1;2.258;2.258;2.258;100.0
2024-03-22;SGB;1056;SE0004517290;2.25;2032-06-01;1000 +/- 1000;3250;1000;16;5;2.337;2.329;2.339;69.77
2024-03-22;SGB;1059;SE0007125927;1.0;2026-11-12;1000 +/- 1000;5300;1000;14;3;2.623;2.617;2.626;50.0
2024-03-22;SGB;1061;SE0011281922;0.75;2029-11-12;1000 +/- 1000;3100;1000;11;5;2.333;2.33;2.336;50.0
2024-04-05;SGB;1053;SE0002829192;3.5;2039-03-30;900 +/- 900;5496;900;22;9;2.605;2.6;2.608;22.73
2024-04-05;SGB;1060;SE0009496367;0.75;2028-05-12;900 +/- 900;2300;900;9;7;2.542;2.534;2.547;16.67
2024-04-05;SGB;1062;SE0013935319;0.125;2031-05-12;900 +/- 900;2900;900;11;1;2.423;2.423;2.423;100.0
2024-04-19;SGB;1056;SE0004517290;2.25;2032-06-01;1000 +/- 1000;4900;1000;18;7;2.43;2.422;2.44;33.33
2024-04-19;SGB;1060;SE0009496367;0.75;2028-05-12;1000 +/- 1000;3350;1000;10;6;2.544;2.539;2.548;35.0
2024-04-19;SGB;1062;SE0013935319;0.125;2031-05-12;1000 +/- 1000;3800;1000;12;4;2.43;2.418;2.433;65.0
2024-05-03;SGB;1059;SE0007125927;1.0;2026-11-12;1000 +/- 1000;3100;1000;9;1;2.831;2.831;2.831;100.0
2024-05-03;SGB;1063;SE0015193313;0.5;2045-11-24;900 +/- 900;3492;900;37;8;2.526;2.517;2.529;11.63
2024-05-17;SGB;1060;SE0009496367;0.75;2028-05-12;1000 +/- 1000;3750;1000;12;6;2.445;2.436;2.449;45.0
2024-05-17;SGB;1061;SE0011281922;0.75;2029-11-12;900 +/- 900;4060;900;10;3;2.332;2.332;2.333;48.0
2024-05-31;SGB;1056;SE0004517290;2.25;2032-06-01;900 +/- 900;3200;900;18;2;2.457;2.457;2.457;94.74
2024-05-31;SGB;1059;SE0007125927;1.0;2026-11-12;1000 +/- 1000;4450;1000;14;2;2.777;2.772;2.778;75.0
2024-06-14;SGB;1053;SE0002829192;3.5;2039-03-30;500 +/- 500;2425;500;21;1;2.26;2.26;2.26;100.0
2024-06-14;SGB;1060;SE0009496367;0.75;2028-05-12;1000 +/- 1000;2800;1000;7;1;2.281;2.281;2.281;100.0
2024-06-14;SGB;1061;SE0011281922;0.75;2029-11-12;1500 +/- 1500;4650;1500;15;1;2.179;2.179;2.179;100.0
2024-06-28;SGB;1053;SE0002829192;3.5;2039-03-30;700 +/- 700;2616;700;20;4;2.283;2.275;2.287;50.0
2024-06-28;SGB;1060;SE0009496367;0.75;2028-05-12;1000 +/- 1000;2300;1000;7;3;2.232;2.225;2.234;65.0
2024-06-28;SGB;1062;SE0013935319;0.125;2031-05-12;1000 +/- 1000;3150;1000;12;1;2.137;2.137;2.137;100.0
2024-09-06;SGB;1060;SE0009496367;0.75;2028-05-12;2000 +/- 2000;3750;2000;9;6;1.705;1.697;1.712;29.17
2024-09-06;SGB;1062;SE0013935319;0.125;2031-05-12;1000 +/- 1000;2750;1000;6;1;1.782;1.782;1.782;100.0
2024-09-20;SGB;1056;SE0004517290;2.25;2032-06-01;1200 +/- 1200;2250;1200;14;9;1.861;1.854;1.871;30.0
2024-09-20;SGB;1061;SE0011281922;0.75;2029-11-12;1500 +/- 1500;2715;750;15;5;1.756;1.753;1.758;100.0
2024-10-04;SGB;1053;SE0002829192;3.5;2039-03-30;1000 +/- 1000;2170;1000;13;9;2.197;2.179;2.204;32.5
